,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,name,link,cover_url,author,genres,genres_list
0,0,0,0,Where_the_Wild_Things_Are,/book/show/19543.Where_the_Wild_Things_Are,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1384434560i/19543.jpg,Maurice Sendak,"Picture Books, Childrens, Fiction, Classics, Fantasy, Adventure, Young Adult","['Picture Books', 'Childrens', 'Fiction', 'Classics', 'Fantasy', 'Adventure', 'Young Adult']"
1,1,1,1,Green_Eggs_and_Ham,/book/show/23772.Green_Eggs_and_Ham,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1673212751i/23772.jpg,Dr. Seuss,"Childrens, Picture Books, Classics, Fiction, Poetry, Fantasy, Humor","['Childrens', 'Picture Books', 'Classics', 'Fiction', 'Poetry', 'Fantasy', 'Humor']"
2,2,2,2,The_Very_Hungry_Caterpillar,/book/show/4948.The_Very_Hungry_Caterpillar,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1603739265i/4948.jpg,Eric Carle,"Picture Books, Childrens, Fiction, Animals, Classics, Food, Counting","['Picture Books', 'Childrens', 'Fiction', 'Animals', 'Classics', 'Food', 'Counting']"
3,3,3,3,Charlotte_s_Web,/book/show/24178.Charlotte_s_Web,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1628267712i/24178.jpg,E.B. White,"Fiction, Childrens, Classics, Fantasy, Young Adult, Middle Grade, Animals","['Fiction', 'Childrens', 'Classics', 'Fantasy', 'Young Adult', 'Middle Grade', 'Animals']"
4,4,4,4,The_Giving_Tree,/book/show/370493.The_Giving_Tree,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1725807591i/370493.jpg,Shel Silverstein,"Childrens, Classics, Fiction, Picture Books, Poetry, Young Adult, Fantasy","['Childrens', 'Classics', 'Fiction', 'Picture Books', 'Poetry', 'Young Adult', 'Fantasy']"
5,5,5,5,The_Cat_in_the_Hat,/book/show/233093.The_Cat_in_the_Hat,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1468890477i/233093.jpg,Dr. Seuss,"Childrens, Picture Books, Fiction, Poetry, Classics, Fantasy, Humor","['Childrens', 'Picture Books', 'Fiction', 'Poetry', 'Classics', 'Fantasy', 'Humor']"
6,6,6,6,Harry_Potter_and_the_Sorcerer_s_Stone,/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1474154022i/3.jpg,J.K. Rowling,"Fantasy, Fiction, Young Adult, Magic, Childrens, Middle Grade, Audiobook","['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Middle Grade', 'Audiobook']"
7,7,7,7,Goodnight_Moon,/book/show/32929.Goodnight_Moon,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1439223893i/32929.jpg,Margaret Wise Brown,"Childrens, Picture Books, Fiction, Classics, Poetry, Kids, Animals","['Childrens', 'Picture Books', 'Fiction', 'Classics', 'Poetry', 'Kids', 'Animals']"
8,8,8,8,Charlie_and_the_Chocolate_Factory,/book/show/6310.Charlie_and_the_Chocolate_Factory,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1309211401i/6310.jpg,Roald Dahl,"Fiction, Fantasy, Childrens, Young Adult, Middle Grade, Classics, Humor","['Fiction', 'Fantasy', 'Childrens', 'Young Adult', 'Middle Grade', 'Classics', 'Humor']"
9,9,9,9,Where_the_Sidewalk_Ends,/book/show/30119.Where_the_Sidewalk_Ends,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1168052448i/30119.jpg,Shel Silverstein,"Poetry, Childrens, Classics, Fiction, Humor, Young Adult, Picture Books","['Poetry', 'Childrens', 'Classics', 'Fiction', 'Humor', 'Young Adult', 'Picture Books']"
10,10,10,10,Winnie_the_Pooh,/book/show/99107.Winnie_the_Pooh,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1298440130i/99107.jpg,A.A. Milne,"Childrens, Fiction, Classics, Fantasy, Animals, Audiobook, Middle Grade","['Childrens', 'Fiction', 'Classics', 'Fantasy', 'Animals', 'Audiobook', 'Middle Grade']"
